External ID,Title,Internal Title,Description,Short Description,Series Name,Season Number,Episode Number,Keywords,Categories,Release Date,Video Filename,Artwork Filename,Series Artwork Filename,Closed Caption Filename,Genre Source,Genre Value,Rating Source,Rating Value,Cut Points ,Entry Type,Is Ad?,Is Promo?,Burn-in Captions?
PTV-S-C-2023-001,Dragnet Animated - Episode One,Dragnet-one,Sgt. Joe Friday and his partners methodically investigate crimes in Los Angeles.,Sgt. Joe Friday and his partners methodically investigate crimes in Los Angeles.,Dragnet Animated,1,1,,Crime,2023/06/12,Dragnet2_2p-1080-wCredits.mp4,Dragnet_title-img.png,Dragnet_title-img.png,,roku,Crime,USA_PR,TVY7,00:01:37.500,tvSpecial,,,
PTV-S-C-2023-002,Dragnet Animated - Episode Two,Dragnet-two,Sgt. Joe Friday and his partners methodically investigate crimes in Los Angeles.,Sgt. Joe Friday and his partners methodically investigate crimes in Los Angeles.,Dragnet Animated,1,2,,Crime,2023/06/12,Dragnet4_2p-1080-wCredits.mp4,Dragnet_title-img.png,Dragnet_title-img.png,,roku,Crime,USA_PR,TVY7,00:01:17:000,tvSpecial,,,
PTV-S-C-2023-003,Dragnet Animated - Episode Three,Dragnet-three,Sgt. Joe Friday and his partners methodically investigate crimes in Los Angeles.,Sgt. Joe Friday and his partners methodically investigate crimes in Los Angeles.,Dragnet Animated,1,3,,Crime,2023/06/12,Dragnet5_2p-1080-wCredits.mp4,Dragnet_title-img.png,Dragnet_title-img.png,,roku,Crime,USA_PR,TVY7,00:02:20.000,tvSpecial,,,
PTV-S-C-2023-004,Dragnet Animated - Episode Four,Dragnet-five,Sgt. Joe Friday and his partners methodically investigate crimes in Los Angeles.,Sgt. Joe Friday and his partners methodically investigate crimes in Los Angeles.,Dragnet Animated,1,4,,Crime,2023/06/12,Dragnet7_2p-1080-wCredits.mp4,Dragnet_title-img.png,Dragnet_title-img.png,,roku,Crime,USA_PR,TVY7,00:01:34.000,tvSpecial,,,
PTV-S-C-2023-005,Dragnet Animated - Episode Five,Dragnet-six,Sgt. Joe Friday and his partners methodically investigate crimes in Los Angeles.,Sgt. Joe Friday and his partners methodically investigate crimes in Los Angeles.,Dragnet Animated,1,5,,Crime,2023/06/12,Dragnet8_2p-1080-wCredits.mp4,Dragnet_title-img.png,Dragnet_title-img.png,,roku,Crime,USA_PR,TVY7,00:01:21.200,tvSpecial,,,
PTV-S-C-2023-006,Dragnet Animated - Episode Six,Dragnet-eight,Sgt. Joe Friday and his partners methodically investigate crimes in Los Angeles.,Sgt. Joe Friday and his partners methodically investigate crimes in Los Angeles.,Dragnet Animated,1,6,,Crime,2023/06/12,Dragnet10_2p-1080-wCredits.mp4,Dragnet_title-img.png,Dragnet_title-img.png,,roku,Crime,USA_PR,TVY7,00:01:14.000,tvSpecial,,,
PTV-S-C-2023-007,Dragnet Animated - Episode Seven,Dragnet-ten,Sgt. Joe Friday and his partners methodically investigate crimes in Los Angeles.,Sgt. Joe Friday and his partners methodically investigate crimes in Los Angeles.,Dragnet Animated,1,7,,Crime,2023/06/12,Dragnet12_2p-1080-wCredits.mp4,Dragnet_title-img.png,Dragnet_title-img.png,,roku,Crime,USA_PR,TVY7,00:01:22.000,tvSpecial,,,
PTV-S-C-2023-008,Dragnet Animated - Episode Eight,Dragnet-eleven,Sgt. Joe Friday and his partners methodically investigate crimes in Los Angeles.,Sgt. Joe Friday and his partners methodically investigate crimes in Los Angeles.,Dragnet Animated,1,8,,Crime,2023/06/12,Dragnet13_2p-1080-wCredits.mp4,Dragnet_title-img.png,Dragnet_title-img.png,,roku,Crime,USA_PR,TVY7,00:01:05.500,tvSpecial,,,
PTV-S-C-2023-009,Dragnet Animated - Episode Nine,Dragnet-twelve,Sgt. Joe Friday and his partners methodically investigate crimes in Los Angeles.,Sgt. Joe Friday and his partners methodically investigate crimes in Los Angeles.,Dragnet Animated,1,9,,Crime,2023/06/12,Dragnet14_2p-1080-wCredits.mp4,Dragnet_title-img.png,Dragnet_title-img.png,,roku,Crime,USA_PR,TVY7,00:00:50.000,tvSpecial,,,
PTV-S-C-2023-010,Dragnet Animated - Episode Ten,Dragnet-thirteen,Sgt. Joe Friday and his partners methodically investigate crimes in Los Angeles.,Sgt. Joe Friday and his partners methodically investigate crimes in Los Angeles.,Dragnet Animated,1,10,,Crime,2023/06/12,Dragnet15_2p-1080-wCredits.mp4,Dragnet_title-img.png,Dragnet_title-img.png,,roku,Crime,USA_PR,TVY7,00:00:57.250,tvSpecial,,,
